Category: All categories

Month,star wars: (Worldwide),star trek: (Worldwide)
2004-01,13,5
2004-02,11,5
2004-03,10,5
2004-04,11,5
2004-05,11,5
2004-06,11,5
2004-07,12,5
2004-08,12,5
2004-09,21,4
2004-10,17,4
2004-11,22,4
2004-12,15,4
2005-01,14,4
2005-02,15,5
2005-03,28,4
2005-04,32,4
2005-05,90,4
2005-06,43,3
2005-07,22,4
2005-08,16,3
2005-09,14,3
2005-10,15,3
2005-11,20,3
2005-12,18,3
2006-01,15,3
2006-02,14,3
2006-03,13,3
2006-04,12,3
2006-05,11,3
2006-06,11,3
2006-07,10,3
2006-08,11,4
2006-09,14,4
2006-10,12,4
2006-11,11,3
2006-12,11,5
2007-01,10,4
2007-02,10,3
2007-03,9,3
2007-04,8,3
2007-05,10,3
2007-06,10,3
2007-07,9,3
2007-08,8,3
2007-09,9,3
2007-10,9,3
2007-11,10,3
2007-12,11,3
2008-01,9,3
2008-02,8,3
2008-03,9,3
2008-04,9,2
2008-05,9,2
2008-06,8,2
2008-07,9,3
2008-08,12,3
2008-09,14,3
2008-10,12,3
2008-11,11,5
2008-12,12,3
2009-01,10,3
2009-02,10,3
2009-03,10,4
2009-04,10,6
2009-05,10,17
2009-06,9,6
2009-07,10,4
2009-08,10,4
2009-09,9,4
2009-10,12,4
2009-11,12,5
2009-12,13,5
2010-01,11,5
2010-02,11,5
2010-03,9,3
2010-04,10,3
2010-05,10,3
2010-06,10,3
2010-07,10,3
2010-08,11,3
2010-09,10,3
2010-10,10,3
2010-11,10,2
2010-12,11,2
2011-01,11,3
2011-02,9,2
2011-03,10,2
2011-04,11,2
2011-05,10,2
2011-06,10,2
2011-07,10,3
2011-08,10,3
2011-09,11,3
2011-10,10,3
2011-11,10,2
2011-12,16,2
2012-01,13,3
2012-02,14,3
2012-03,12,3
2012-04,10,3
2012-05,9,3
2012-06,9,3
2012-07,8,2
2012-08,8,2
2012-09,7,3
2012-10,9,2
2012-11,13,2
2012-12,12,5
2013-01,12,3
2013-02,11,3
2013-03,10,3
2013-04,9,4
2013-05,9,11
2013-06,9,7
2013-07,9,4
2013-08,8,5
2013-09,8,5
2013-10,8,4
2013-11,9,3
2013-12,10,3
2014-01,11,3
2014-02,9,3
2014-03,9,2
2014-04,9,2
2014-05,11,3
2014-06,8,2
2014-07,8,2
2014-08,8,2
2014-09,8,2
2014-10,9,2
2014-11,14,2
2014-12,14,2
2015-01,10,2
2015-02,9,3
2015-03,9,3
2015-04,17,2
2015-05,13,2
2015-06,11,2
2015-07,11,2
2015-08,12,2
2015-09,15,2
2015-10,27,2
2015-11,32,2
2015-12,100,4
2016-01,44,2
2016-02,21,2
2016-03,17,2
2016-04,19,2
2016-05,14,2
2016-06,11,3
2016-07,12,8
2016-08,10,5
2016-09,10,5
2016-10,12,4
2016-11,12,3
2016-12,28,3
2017-01,17,3
2017-02,11,2
2017-03,10,2
2017-04,14,2
2017-05,11,2
2017-06,9,2
2017-07,9,3
2017-08,8,2
2017-09,9,4
2017-10,13,4
2017-11,16,3
2017-12,42,3
2018-01,18,3
2018-02,11,3
2018-03,10,2
2018-04,10,2
2018-05,12,2
2018-06,8,2
2018-07,7,2
2018-08,7,2
2018-09,7,2
2018-10,7,2
2018-11,7,2
2018-12,9,2
2019-01,7,3
2019-02,7,3
2019-03,7,3
2019-04,9,3
2019-05,8,2
2019-06,6,2
2019-07,6,2
2019-08,7,2
2019-09,7,2
2019-10,9,2
2019-11,15,2
2019-12,38,2
2020-01,21,3
2020-02,10,3
2020-03,10,3
2020-04,12,3
2020-05,14,2
2020-06,9,2
2020-07,8,2
2020-08,7,2
2020-09,7,2
2020-10,7,2
2020-11,10,3
2020-12,14,2
2021-01,11,3
2021-02,8,2
2021-03,7,2
2021-04,6,2
2021-05,8,2
2021-06,6,1
2021-07,6,2
2021-08,6,2
2021-09,6,2
2021-10,6,2
2021-11,7,2
2021-12,7,2
2022-01,8,2
2022-02,9,2
2022-03,7,2
2022-04,10,2
2022-05,11,3
2022-06,11,2
2022-07,8,2
2022-08,6,2
2022-09,6,2
2022-10,6,1
2022-11,6,1
2022-12,7,2
2023-01,7,2
2023-02,6,2
2023-03,6,2
